gender,city,work_type,company_size,position,level,experience,currency,raise_period,salary
1,0,2,1,Diğer,3,4,0,4 veya üzeri,37.253 TL - 44.703 TL
1,1,3,1,Android Developer,2,2,0,1,37.253 TL - 44.703 TL
1,0,3,1,Team Lead,3,3,0,1,54.952 TL - 67.202 TL
1,0,3,1,Mobile Developer(Cross Platform),1,1,0,2,37.253 TL - 44.703 TL
1,0,1,2,Research and Development Engineer,3,4,0,1,54.952 TL - 67.202 TL
1,0,3,2,Backend Developer / Engineer,3,5,0,1,82.653 TL - 105.102 TL
1,1,3,1,Backend Developer / Engineer,3,4,0,1,67.203 TL - 82.652 TL
1,0,3,2,Backend Developer / Engineer,3,4,0,1,54.952 TL - 67.202 TL
0,0,2,2,Fullstack Developer / Engineer,2,2,0,2,22.452 TL - 26.802 TL
1,1,3,1,Backend Developer / Engineer,3,4,0,1,67.203 TL - 82.652 TL
