gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Erkek,Antalya,Hibrit (Ofis + Remote),11 - 20 Kişi,Software Development Manager / Engineering Manager,Senior,7 - 10 Yıl,.Net,₺ - Türk Lirası,2,75.000 - 79.999
Erkek,İstanbul,Remote,250+,Product Manager,Junior,1 - 3 Yıl,JavaScript | Html | Css,₺ - Türk Lirası,2,55.000 - 55.999
Kadın,İstanbul,Remote,250+,Front-end Developer,Middle,3 - 5 Yıl,React,₺ - Türk Lirası,2,50.000 - 50.999
Erkek,Kocaeli,Hibrit (Ofis + Remote),101 - 249 Kişi,Full Stack Developer,Junior,1 - 3 Yıl,.Net,₺ - Türk Lirası,2,32.000 - 32.999
Erkek,İstanbul,Remote,250+,Front-end Developer,Senior,12 - 14 Yıl,"JavaScript | Html | Css;React;Storybook, NextJs ",₺ - Türk Lirası,2,70.000 - 70.999
Erkek,İstanbul,Remote,101 - 249 Kişi,Mobile Application Developer (iOS),Senior,7 - 10 Yıl,Swift,₺ - Türk Lirası,1,85.000 - 89.999
Erkek,İstanbul,Hibrit (Ofis + Remote),101 - 249 Kişi,Software Architect,Senior,7 - 10 Yıl,Java;.Net;JavaScript | Html | Css;Angular,₺ - Türk Lirası,2,110.000 - 114.999
Kadın,Ankara,Remote,250+,Full Stack Developer,Middle,1 - 3 Yıl,.Net;Angular,₺ - Türk Lirası,2,45.000 - 45.999
Erkek,İstanbul,Hibrit (Ofis + Remote),101 - 249 Kişi,Product Owner,Senior,15 Yıl ve üzeri,Php,₺ - Türk Lirası,2,69.000 - 69.999
Erkek,İstanbul,Ofis,21 - 50 Kişi,Full Stack Developer,Junior,1 - 3 Yıl,.Net;JavaScript | Html | Css;AngularJS,₺ - Türk Lirası,1,40.000 - 40.999
Erkek,İstanbul,Remote,250+,Front-end Developer,Middle,3 - 5 Yıl,JavaScript | Html | Css;React,₺ - Türk Lirası,3,40.000 - 40.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Software Development Manager / Engineering Manager,Senior,12 - 14 Yıl,Java;.Net;Python;React,₺ - Türk Lirası,1,110.000 - 114.999
